name,institution_type,impervious_surface
"203. Goodyear Auto Service, Akron, OH, USA",Fortune 500 HQ,77
"202. Colgate-Palmolive Company, Park Avenue, New York, NY, USA",Fortune 500 HQ,92
"201. Supervalu  Eden Prairie, MN, USA",Fortune 500 HQ,99
"200. General Mills  Minneapolis, MN, USA",Fortune 500 HQ,100
"199. Texas Instruments, Dallas, TX, USA",Fortune 500 HQ,69
"198. Aramark HQ, Philadelphia, PA, USA",Fortune 500 HQ,90
"197. Netflix Los Gatos, CA, USA",Fortune 500 HQ,87
"196. Nordstrom Downtown Seattle, Pine Street, Seattle, WA, USA",Fortune 500 HQ,100
"195. Becton Dickinson  Franklin Lakes, NJ, USA",Fortune 500 HQ,100
"194. Rockingham Estates by D.R. Horton America's Builder, Longbow Lane, Arlington, TX, USA",Fortune 500 HQ,80
"193. Cognizant, Frank W Burr Boulevard, Teaneck, NJ, USA",Fortune 500 HQ,45
"192. American Electric Power Co, Riverside Plaza, Columbus, OH, USA",Fortune 500 HQ,72
"191. CDW, Tri State International, Lincolnshire, IL, USA",Fortune 500 HQ,78
"190. WestRock  Atlanta, GA, USA",Fortune 500 HQ,66
"189. Jones Lang La Salle, West Monroe Street, Chicago, IL, USA",Fortune 500 HQ,97
"188. Davita, Denver, Colorado, USA",Fortune 500 HQ,94
"187. Lincoln Financial Group, Radnor, PA, USA",Fortune 500 HQ,92
"186. Gap San Francisco, CA, USA",Fortune 500 HQ,85
"185. C.H. Robinson, Charlson Road, Eden Prairie, MN, USA",Fortune 500 HQ,86
"184. NextEra Energy Resources, Universe Boulevard, Juno Beach, FL, USA",Fortune 500 HQ,88
"183. PG&E San Francisco, CA, USA",Fortune 500 HQ,93
"182. Applied Materials Inc,  Santa Clara, CA, USA",Fortune 500 HQ,99
"181. EOG Resources Inc,, TX, USA",Fortune 500 HQ,83
"180. XPO Logistics, Connecticut, USA",Fortune 500 HQ,86
"178. NGL Energy Partners LP, South Yale Avenue, Tulsa, OK, USA",Fortune 500 HQ,77
"178. Emerson Electric Co., West Florissant Avenue, St. Louis, MO, USA",Fortune 500 HQ,92
"177. Sherwin-Williams - Corporate Office, West Prospect Avenue, Cleveland, OH, USA",Fortune 500 HQ,88
"176. Performans Food Group Richmond, VA, USA",Fortune 500 HQ,90
"175. HollyFrontier Corporation, North Harwood Street, Dallas, TX, USA",Fortune 500 HQ,99
"174. CarMax, Richmond Road, Charlottesville, VA, USA",Fortune 500 HQ,80
"173. Synchrony Financial, Long Ridge Road, Stamford, CT, USA",Fortune 500 HQ,88
"172. Tenet Healthcare Corporation, Ross Avenue, Dallas, TX, USA",Fortune 500 HQ,62
"171 Kimberly-Clark Corporation, Phelps Drive, Irving, TX, USA",Fortune 500 HQ,84
"170. Freeport-McMoRan Inc., North Central Avenue, Phoenix, AZ, USA",Fortune 500 HQ,91
169. Genuine Parts,Fortune 500 HQ,94
168. Molina Healthcare,Fortune 500 HQ,86
167. Occidental Petroleum,Fortune 500 HQ,89
166. Icahn Enterprises,Fortune 500 HQ,99
"165. Avnet, Inc., South 47th Street, Phoenix, AZ, USA",Fortune 500 HQ,96
"164. Fluor, Irving, Texas, USA",Fortune 500 HQ,96
"163. Bank of New York Mellon, Greenwich Street, New York, NY, USA",Fortune 500 HQ,95
"162. Altria Group Inc., West Broad Street, Richmond, VA, USA",Fortune 500 HQ,40
"161. Hartford Financial Services: Delacruz Cedric, Hartford Plaza, Hartford, CT, USA",Fortune 500 HQ,57
"160. Danaher Corporation, Pennsylvania Avenue Northwest, Washington, DC, USA",Fortune 500 HQ,84
159. PNC Financial Services,Fortune 500 HQ,97
158. SYNNEX,Fortune 500 HQ,85
157. AECOM,Fortune 500 HQ,88
156. Kohl’s,Fortune 500 HQ,93
155. WellCare Health Plans,Fortune 500 HQ,81
154. Lennar,Fortune 500 HQ,94
153. VISA,Fortune 500 HQ,90
152. Western Digital,Fortune 500 HQ,87
151. Marriott International,Fortune 500 HQ,83
150. Broadcom,Fortune 500 HQ,87
149. McDonald’s,Fortune 500 HQ,96
148. Whirlpool,Fortune 500 HQ,93
147. LEAR,Fortune 500 HQ,91
"146. CBRE Global Headquarters, South Hope Street, Los Angeles, CA, USA",Fortune 500 HQ,63
145. AutoNation,Fortune 500 HQ,94
"144. Tesla HQ, Deer Creek Road, Palo Alto, CA, USA",Fortune 500 HQ,95
143. AFLAC,Fortune 500 HQ,86
142. Southwest Airlines,Fortune 500 HQ,69
141. ManpowerGroup,Fortune 500 HQ,97
140. JABIL,Fortune 500 HQ,58
"139. Gilead Sciences, Inc., Lakeside Drive, Foster City, CA, USA",Fortune 500 HQ,85
138. Bristol-Myers Squibb,Fortune 500 HQ,99
"137. Qualcomm, Technology Drive, San Jose, CA, USA",Fortune 500 HQ,98
"136. Penske Automotive Group, Inc., South Telegraph Road, Bloomfield Township, MI, USA",Fortune 500 HQ,94
135. DOLLAR TREE,Fortune 500 HQ,0
134. UNION PACIFIC,Fortune 500 HQ,98
"133. International Paper, Poplar Avenue, Memphis, TN, USA",Fortune 500 HQ,97
132. CENTURYLINK,Fortune 500 HQ,95
131. SOUTHERN,Fortune 500 HQ,94
130. PACCAR,Fortune 500 HQ,91
129. AMGEN,Fortune 500 HQ,80
128. Cummins,Fortune 500 HQ,95
"127. Halliburton, North Sam Houston Parkway East, Houston, TX, USA",Fortune 500 HQ,94
"126. Duke Energy, South Tryon Street, Charlotte, NC, USA",Fortune 500 HQ,99
125. US Foods Holdings,Fortune 500 HQ,53
"124. Thermo Fisher Scientific, 3rd Avenue, Waltham, MA, USA",Fortune 500 HQ,61
"123. Eli Lilly and Company Corporate Center, Delaware Street, Indianapolis, IN, USA",Fortune 500 HQ,97
"122. DXC Technology, Tysons Boulevard, Tysons, VA, USA",Fortune 500 HQ,53
"121. Starbucks, Pike Place, Seattle, WA, USA",Fortune 500 HQ,98
120. NUCOR,Fortune 500 HQ,85
"119. Dollar General Corporate Headquarters, Mission Ridge, Goodlettsville, TN, USA",Fortune 500 HQ,77
118. MACY'S,Fortune 500 HQ,92
117. U.S. BANCORP,Fortune 500 HQ,99
116. Mondelez International,Fortune 500 HQ,49
"115. Kraft Heinz Innovation Center, Ericsson Drive, Warrendale, PA, USA",Fortune 500 HQ,82
"114. Raytheon Company, Apple Hill Drive, Tewksbury, MA, USA",Fortune 500 HQ,78
"113. PBF Energy, Sylvan Way, Parsippany, NJ, USA",Fortune 500 HQ,56
"112. INTL FCStone, 5th Avenue, New York, NY, USA",Fortune 500 HQ,100
"111. Northwestern Mutual, East Mason Street, Milwaukee, WI, USA",Fortune 500 HQ,98
"110. Philip Morris International Inc, Park Avenue, New York, NY, USA",Fortune 500 HQ,98
"109. Arrow Electronics, East Dry Creek Road, Centennial, CO, USA",Fortune 500 HQ,89
"108. Northrop Grumman, Fairview Park Drive, Falls Church, VA, USA",Fortune 500 HQ,78
