latitude,longitude,name,type,popup
33.656194,-83.718567,Georgia Manufacturing Plant,EV Facility,"<strong>Georgia Manufacturing Plant</strong><br/>Rivian<br/>Social Circle, GA<br/>Light-Duty (Class 1-2)"
34.0633,-117.6509,Jacksonville Factory,EV Facility,"<strong>Jacksonville Factory</strong><br/>Cenntro Automotive<br/>Jacksonville, FL<br/>Medium-Duty (Class 3-6)"
40.796402,-73.068675,Holbrook Repowering Manufacturing Facility,EV Facility,"<strong>Holbrook Repowering Manufacturing Facility</strong><br/>Unique Electric Solutions<br/>Holbrook, NY<br/>Multiple Classes"
34.846247,-90.294518,Advanced Manufacturing and Engineering Center,EV Facility,"<strong>Advanced Manufacturing and Engineering Center</strong><br/>Mullen Automotive<br/>Tunica Resorts, MS<br/>Multiple Classes"
36.357403,-94.199063,Canoo R and D Center,EV Facility,"<strong>Canoo R and D Center</strong><br/>Canoo<br/>Bentonville, AR<br/>Medium-Duty (Class 3-6)"
38.25752,-84.547617,Toyota Motor Manufacturing Kentucky,EV Facility,"<strong>Toyota Motor Manufacturing Kentucky</strong><br/>Toyota<br/>Georgetown, KY<br/>Light-Duty (Class 1-2)"
41.019149,-84.05024,Metro Titan Bus Factory,EV Facility,"<strong>Metro Titan Bus Factory</strong><br/>Endera<br/>Ottawa, OH<br/>Medium-Duty (Class 3-6)"
32.879546,-111.74758,AMP-1,EV Facility,"<strong>AMP-1</strong><br/>Lucid Motors<br/>Casa Grande, AZ<br/>Light-Duty (Class 1-2)"
35.464095,-89.402431000000007,BlueOval Tennessee Truck Plant,EV Facility,"<strong>BlueOval Tennessee Truck Plant</strong><br/>Ford<br/>Stanton, TN<br/>Light-Duty (Class 1-2)"
42.307175,-83.161995,Rouge Electric Vehicle Center,EV Facility,"<strong>Rouge Electric Vehicle Center</strong><br/>Ford<br/>Dearborn, MI<br/>Light-Duty (Class 1-2)"
36.3071316,-95.314464,MegaMicro Factory,EV Facility,"<strong>MegaMicro Factory</strong><br/>Canoo<br/>Pryor, OK<br/>Multiple Classes"
34.920567,-81.996745,South Carolina Car Factory,EV Facility,"<strong>South Carolina Car Factory</strong><br/>Volvo Cars<br/>Ridgeville, SC<br/>Light-Duty (Class 1-2)"
38.615845,-122.871942,HQ and Manufacturing Facility,EV Facility,"<strong>HQ and Manufacturing Facility</strong><br/>Cable Car Classics<br/>Healdsburg, CA<br/>Heavy-Duty (Class 7-8)"
48.846667,-122.591196,Whatcom County Assembly Facility,EV Facility,"<strong>Whatcom County Assembly Facility</strong><br/>Vicinity<br/>Ferndale, WA<br/>Multiple Classes"
33.865885,-117.817891,Phoenix Motorcars,EV Facility,"<strong>Phoenix Motorcars</strong><br/>Phoenix Motorcars<br/>Ontario, CA<br/>Heavy-Duty (Class 7-8)"
41.690307,-93.791062,SEA Electric Engineering Center,EV Facility,"<strong>SEA Electric Engineering Center</strong><br/>SEA Electric<br/>Grimes, IA<br/>Heavy-Duty (Class 7-8)"
41.459836,-88.172067,Joliet Facility,EV Facility,"<strong>Joliet Facility</strong><br/>Lion Electric<br/>Channahon, IL<br/>Heavy-Duty (Class 7-8)"
38.300335,-87.553379,Toyota Motor Manufacturing Indiana,EV Facility,"<strong>Toyota Motor Manufacturing Indiana</strong><br/>Toyota<br/>Princeton, IN<br/>Light-Duty (Class 1-2)"
41.661126,-86.1793,Electric Last Mile Solutions Mishawaka EV Plant,EV Facility,"<strong>Electric Last Mile Solutions Mishawaka EV Plant</strong><br/>Electric Last Mile Solutions<br/>Mishawaka, IN<br/>Light-Duty (Class 1-2)"
32.989394,-80.085703,North Charleston,EV Facility,"<strong>North Charleston</strong><br/>Mercedes-Benz<br/>Ladson, SC<br/>Medium-Duty (Class 3-6)"
35.226761,-80.845876,Charlotte Microfactory,EV Facility,"<strong>Charlotte Microfactory</strong><br/>Arrival<br/>Charlotte, NC<br/>Multiple Classes"
32.553575,-83.886613,Electric Vehicle Build-up Center,EV Facility,"<strong>Electric Vehicle Build-up Center</strong><br/>Blue Bird<br/>Fort Valley, GA<br/>Heavy-Duty (Class 7-8)"
