name,institution_type,avg_rad,no2,impervious_surface
"316. Sonic Automotive, Colwick Road, Charlotte, NC, USA",Fortune 500 HQ,47.976665,3.625075992940776e-5,78
"432. Packaging Corp of America, Lake Forest, IL, USA",Fortune 500 HQ,15.165833,4.77512621625708e-5,42
315. Mohawk Industries,Fortune 500 HQ,30.340834,2.6367252863825565e-5,90
"431. Owens Corning, Toledo, OH, USA",Fortune 500 HQ,179.25,4.46154823383406e-5,88
314. Republic Services,Fortune 500 HQ,164.51666,5.928028163179122e-5,89
"430. Insight Enterprises, Inc., Tempe, AZ, USA",Fortune 500 HQ,111.01583,3.825031959111018e-5,98
"429. Sanmina Corporation, San Jose, CA, USA",Fortune 500 HQ,55.115833,4.416408532822157e-5,99
"428. Toll Brothers, Horsham, PA, USA",Fortune 500 HQ,19.421667,3.9281851357117466e-5,34
313. Eastman Chemical,Fortune 500 HQ,92.42917,2.1006878309715e-5,85
"427. American Financial Group, Cincinnati, OH, USA",Fortune 500 HQ,244.75166,4.4671309054528835e-5,92
312. PulteGroup,Fortune 500 HQ,153.62416,3.820390786572428e-5,94
"426. Celanese Corporation,  Irving, TX, USA",Fortune 500 HQ,100.48167,5.349335236583694e-5,96
"425. Avery Dennison, Glendale, CA, USA",Fortune 500 HQ,94.87,1.0546066063994422e-4,92
311. Leidos Holdings,Fortune 500 HQ,173.55084,2.7033178018008222e-5,90
"424. NVR Inc, Reston, VA, USA",Fortune 500 HQ,44.104164,3.329498024238125e-5,94
"423. Graybar Electric Supply, St. Louis, MO, USA",Fortune 500 HQ,37.291668,4.495613702345313e-5,91
"422. Everett, WA, USA",Fortune 500 HQ,80.308334,4.414802157374611e-5,97
"421. Western & Southern Financial Group Findlay, OH, USA",Fortune 500 HQ,19.268333,3.211821272954654e-5,89
"420. Spirit Aerosystems Holdings, Wichita, KS, USA",Fortune 500 HQ,131.65334,2.9035851185015943e-5,84
"419. Newmont Goldcorp, Greenwood Village, CO, USA",Fortune 500 HQ,9.583333,3.891091069580857e-5,0
"418. American Axle and Manufacturing, Detroit, MI, USA",Fortune 500 HQ,339.56,4.675792482485668e-5,87
"417. Magellan Health, Scottsdale, AZ, USA",Fortune 500 HQ,54.4775,5.907683353465566e-5,98
"416. Motorola Solutions Inc, Chicago, IL, USA",Fortune 500 HQ,204.81084,6.90932632450495e-5,98
"415. Citizens Financial Group, Providence, RI, USA",Fortune 500 HQ,93.72583,4.231430295277256e-5,95
"414. J M Smucker Co Store & Cafe,  Orville, OH, USA",Fortune 500 HQ,4.556667,3.094794070815654e-5,82
"413. Keycorp, Cleveland, OH, USA",Fortune 500 HQ,72.75167,2.8682844572721517e-5,80
"412. Dover Corporation, IL, USA",Fortune 500 HQ,104.22583,8.688017312891784e-5,78
"411. Apache Corp, Houston, TX, USA",Fortune 500 HQ,149.23999,4.044040016268735e-5,100
"410. American Tower Corporation, Boston, MA, USA",Fortune 500 HQ,136.77417,7.673807305835998e-5,95
"409. Keurig Dr Pepper, Inc., Burlington, MA, USA",Fortune 500 HQ,51.905834,4.182142707077895e-5,75
"408. Casey's General Stores Inc, IA, USA",Fortune 500 HQ,83.525,3.2588256666099785e-5,61
"407. Raymond James Financial, St. Petersburg, FL, USA",Fortune 500 HQ,73.6775,2.938513421687648e-5,85
"406. Weyerhaeuser Company Seattle, WA, USA",Fortune 500 HQ,184.98334,6.702698886189212e-5,84
"405. Activision Blizzard, Santa Monica, CA, USA",Fortune 500 HQ,41.383335,6.487029927552887e-5,94
"404. Quest Diagnostics Corporate, Secaucus, NJ, USA",Fortune 500 HQ,114.96916,1.041311030998537e-4,93
"403. Constellation Brands Inc, High Point Drive, Victor, NY, USA",Fortune 500 HQ,47.825832,2.4585524338437177e-5,91
"402. Fidelity National Financial, Inc.,, Riverside Avenue, Jacksonville, FL, USA",Fortune 500 HQ,209.01416,4.881456158626854e-5,87
"401. A-Mark Previous Metals El Segundo, CA, USA",Fortune 500 HQ,58.99917,7.560481997789541e-5,94
"400. UGI Corporation, North Gulph Road, King of Prussia, PA, USA",Fortune 500 HQ,78.183334,3.61618853496632e-5,78
310. United Natural Foods,Fortune 500 HQ,181.8225,4.231430295277256e-5,100
309. Chesapeake Energy,Fortune 500 HQ,232.37,2.9666195539872207e-5,96
308. Navistar International,Fortune 500 HQ,35.368332,8.643935877611708e-5,87
307. Delek US Holdings,Fortune 500 HQ,66.61,3.2817936218050236e-5,71
306. American Family Insurance Group,Fortune 500 HQ,69.386665,3.513738336305747e-5,89
305. IQVIA Holdings,Fortune 500 HQ,108.99834,2.1905703741293485e-5,83
304. SunTrust Banks,Fortune 500 HQ,153.62416,3.820390786572428e-5,94
303. Ally Financial,Fortune 500 HQ,339.56,4.675792482485668e-5,87
302. Targa Resources,Fortune 500 HQ,153.30667,4.62703000555975e-5,89
"301. BorgWarner Propulsion Technical Center, Automation Avenue, Auburn Hills, MI, USA",Fortune 500 HQ,25.19,3.07430931107466e-5,99
"300. Silver Spring, MD, USA",Fortune 500 HQ,79.97083,4.025765574761655e-5,90
"299. CenterPoint Energy Plaza, Louisiana Street, Houston, TX, USA",Fortune 500 HQ,206.5175,4.62703000555975e-5,100
"298. Pacific Life Insurance Co, Newport Center Drive, Newport Beach, CA, USA",Fortune 500 HQ,57.253334,3.4686921581428845e-5,96
297. DEVON ENERGY,Fortune 500 HQ,232.37,2.9666195539872207e-5,96
296. AES,Fortune 500 HQ,80.00667,4.2878154768605895e-5,92
295. EBAY,Fortune 500 HQ,121.425835,4.5630690016335e-5,87
294. Molson Coors Brewing,Fortune 500 HQ,186.79333,4.577360717012564e-5,50
293. Universal Health Services,Fortune 500 HQ,11.110833,3.8014206732591995e-5,0
292. Live Nation Entertainment,Fortune 500 HQ,71.43,7.190146252973446e-5,72
291. NRG Energy,Fortune 500 HQ,10.309167,5.591013023542121e-5,1
"290. L3 Technologies, Third Avenue, New York, NY, USA",Fortune 500 HQ,151.89749,1.0035571628393234e-4,86
"289. Charles Schwab, Main Street, San Francisco, CA, USA",Fortune 500 HQ,97.67667,3.726038482694589e-5,100
288. Entergy,Fortune 500 HQ,407.725,3.852542997745758e-5,67
287. Lam Research,Fortune 500 HQ,45.97167,3.9869039595674335e-5,85
286. Baxter International,Fortune 500 HQ,30.488333,5.166900175112131e-5,49
285. Office Depot,Fortune 500 HQ,98.1225,2.8531522302995913e-5,89
284. Crown Holdings,Fortune 500 HQ,6.9183335,4.1540519113838414e-5,6
283. Quanta Service,Fortune 500 HQ,153.30667,4.62703000555975e-5,89
282. W.W. Grainger,Fortune 500 HQ,15.165833,4.77512621625708e-5,42
281. AutoZone,Fortune 500 HQ,132.50333,4.498879346366405e-5,81
280. Expedia Group,Fortune 500 HQ,43.650833,5.832052186646674e-5,85
279. Corning,Fortune 500 HQ,32.891666,1.9272584529567776e-5,81
278. Laboratory Corp. of America,Fortune 500 HQ,58.583332,2.2118535676440895e-5,73
