"Company","City","State","County","Latitude","Longitude","Q4.2025.Median.Home.Price","Population"
"Sherwin-Williams - Corporate Office","Cleveland","Ohio","Cuyahoga",41.4973117,-81.6924784,225250,"11,799,448"
"Performans Food Group Richmond","Richmond","Virginia",NA,37.5407246,-77.4360481,NA,"8,631,393"
"HollyFrontier Corporation","Dallas","Texas","Dallas",32.794481,-96.8081869,329370,"29,145,505"
"CarMax","Charlottesville","Virginia","Albemarle",38.0324236,-78.4460289,568920,"8,631,393"
"Synchrony Financial","Stamford","Connecticut","Western Connecticut Planning Region",41.097221,-73.561771,NA,"3,605,944"
"Tenet Healthcare Corporation","Dallas","Texas","Dallas",32.7847875,-96.8026417,329370,"29,145,505"
"Kimberly-Clark Corporation","Irving","Texas","Dallas",32.8700521,-96.9505585,329370,"29,145,505"
"Freeport-McMoRan Inc.","Phoenix","Arizona","Maricopa",33.4516712,-112.073049,488740,"7,151,502"
"Genuine Parts","Atlanta","Georgia","Fulton",33.7489954,-84.3879824,514220,"10,711,908"
"Molina Healthcare","Long Beach","California","Los Angeles",33.7700504,-118.1937395,883230,"39,538,223"
"Occidental Petroleum","Houston","Texas","Harris",29.7604267,-95.3698028,306470,"29,145,505"
"Icahn Enterprises","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Avnet","Phoenix","Arizona","Maricopa",33.4274453,-111.9799387,488740,"7,151,502"
"Fluor","Irving","Texas","Dallas",32.8140177,-96.9488945,329370,"29,145,505"
"Bank of New York Mellon","New York","New York","New York",40.714291,-74.0117809,1172110,"20,201,249"
"Altria Group Inc.",NA,"Virginia","Henrico",37.6024176,-77.5178714,400330,"8,631,393"
"Hartford Financial Services: Delacruz Cedric","Hartford","Connecticut","Hartford",41.769703,-72.6869808,NA,"3,605,944"
"Danaher Corporation","Washington","District of Columbia",NA,38.901756,-77.0493404,NA,"689,545"
"PNC Financial Services","Pittsburgh","Pennsylvania","Allegheny",40.4406248,-79.9958864,254090,"13,002,700"
"SYNNEX","Fremont","California","Alameda",37.5485396,-121.988583,1108180,"39,538,223"
"AECOM","Los Angeles","California","Los Angeles",34.0522342,-118.2436849,883230,"39,538,223"
"Kohl’s",NA,"Wisconsin","Waukesha",43.1788967,-88.1173132,461590,"5,893,718"
"WellCare Health Plans","Tampa","Florida","Hillsborough",27.950575,-82.4571776,422180,"21,538,187"
"Lennar","Miami","Florida","Miami-Dade",25.7616798,-80.1917902,555610,"21,538,187"
