system:index,institution_type,name,no2,.geo
00000000000000000256_0,Power Plant,Stockton Hydro,2.4064967350603265E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.78860723849864,37.69780089807572]}"
00000000000000000257_0,Power Plant,Fayette,2.473121027620643E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.65672998050805,39.14408850550815]}"
00000000000000000258_0,Power Plant,Fulton (MO),2.5798219029602956E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.96502721173601,38.89256022595468]}"
00000000000000000259_0,Power Plant,Gallatin (MO),2.471460158083409E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.97725344816374,39.89867334416855]}"
0000000000000000025a_0,Power Plant,Higginsville,2.8215789816195874E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.72572516861027,39.081206435619784]}"
0000000000000000025b_0,Power Plant,Jackson Square,3.9176134795652476E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.4174279373823,39.081206435619784]}"
0000000000000000025c_0,Power Plant,Station H,3.283664315647386E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.35454586749394,39.081206435619784]}"
0000000000000000025d_0,Power Plant,Station I,3.9176134795652476E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.4174279373823,39.081206435619784]}"
0000000000000000025e_0,Power Plant,Jackson (MO),2.77159556519342E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.63839062586645,37.383390548633884]}"
0000000000000000025f_0,Power Plant,Kahoka,2.7846685897110766E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.71349893218255,40.40172990327548]}"
00000000000000000260_0,Power Plant,Kennett,3.471186493136125E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.07856511508501,36.25151329064329]}"
00000000000000000261_0,Power Plant,La Plata,2.41029074768892E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.46808377084294,40.02443748394528]}"
00000000000000000262_0,Power Plant,Macon,2.46974910512129E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.46808377084294,39.71002713450345]}"
00000000000000000263_0,Power Plant,Malden,3.502826210073316E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.95280097530828,36.565923640085124]}"
00000000000000000264_0,Power Plant,Marshall (MO),2.7546608310007526E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.22266860950334,39.14408850550815]}"
00000000000000000265_0,Power Plant,Memphis,2.3576634096572625E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.15367342140111,40.46461197316385]}"
00000000000000000266_0,Power Plant,James River Power Station,2.4709338689534494E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.2855506793917,37.13186226908042]}"
00000000000000000267_0,Power Plant,Unionville City of,2.388966395762925E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.03402239983825,40.46461197316385]}"
00000000000000000268_0,Power Plant,Table Rock,1.9951670556621703E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.2855506793917,36.565923640085124]}"
00000000000000000269_0,Power Plant,New Madrid,3.858902439321594E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.57550855597809,36.50304157019676]}"
0000000000000000026a_0,Power Plant,Thomas Hill,2.9417367796729653E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.65672998050805,39.52138092483835]}"
0000000000000000026b_0,Power Plant,Glendive GT,1.4229401028547467E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.7300873990744,47.067229311442325]}"
