system:index,avg_rad,institution_type,name,.geo
00000000000000000063_0,34.926666,Fortune 500 HQ,"464. Beacon Roofing Supply Inc, Huntmar Park Drive, Herndon, VA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.38312436226589,38.96217966047395]}"
00000000000000000064_0,158.49083,Fortune 500 HQ,"463. ABM Industries, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00545889397648,40.713894464507014]}"
00000000000000000065_0,99.89917,Fortune 500 HQ,"336. Mutual of Omaha® Insurance Co., Dodge Street, Omaha, NE, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.9602844378576,41.25737521139933]}"
00000000000000000066_0,19.305,Fortune 500 HQ,"462. M&T Bank Buffalo, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-78.80246251117472,43.027056321114785]}"
00000000000000000067_0,158.49083,Fortune 500 HQ,"461. HESS New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00545889397648,40.713894464507014]}"
00000000000000000068_0,100.415,Fortune 500 HQ,"460. Advanced Micro Devices, Augustine Drive, Santa Clara, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.97100348953833,37.38114476042359]}"
00000000000000000069_0,40.078335,Fortune 500 HQ,335. AGCO,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.14294687526528,34.00347929213419]}"
0000000000000000006a_0,85.59917,Fortune 500 HQ,"459. Cintas Center, Herald Avenue, Cincinnati, OH, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.47083195396891,39.150825870139045]}"
0000000000000000006b_0,77.315834,Fortune 500 HQ,"458. Dillard's, Little Rock AR, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.34007384285592,34.75357255437399]}"
0000000000000000006c_0,158.49083,Fortune 500 HQ,334. COTY,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00545889397648,40.713894464507014]}"
0000000000000000006d_0,29.381666,Fortune 500 HQ,"457. Ascena Retail Group Inc (ASNA),Mahwah, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.17164722153859,41.073220578154825]}"
0000000000000000006e_0,139.83667,Fortune 500 HQ,"333. Pioneer Natural Resources Company, North O'Connor Boulevard, Irving, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.93944809754787,32.87160203414359]}"
0000000000000000006f_0,64.23417,Fortune 500 HQ,"456. Marathon Oil, Houston, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.47070260801245,29.749956421828255]}"
00000000000000000070_0,158.49083,Fortune 500 HQ,332. First Data,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00545889397648,40.713894464507014]}"
00000000000000000071_0,75.32667,Fortune 500 HQ,"455. Seaboard Corporation Shawnee Mission, KS, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.68916831082846,39.007095424679925]}"
00000000000000000072_0,20.048334,Fortune 500 HQ,331. Hertz Global Holdings,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.80732713655453,26.439664599847816]}"
00000000000000000073_0,122.8375,Fortune 500 HQ,"454. Chemours, Wilmington, DE, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.55056118266207,39.74371395765793]}"
00000000000000000074_0,235.68083,Fortune 500 HQ,"453. Northern Trust, Chicago, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.63290175406962,41.881704333862395]}"
00000000000000000075_0,153.30667,Fortune 500 HQ,330. Calpine,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.3718879267593,29.75893957466945]}"
00000000000000000076_0,118.38416,Fortune 500 HQ,"452. Rockwell Automation, Inc., Milwaukee, WI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.91137949214668,43.01807316827359]}"
00000000000000000077_0,36.921665,Fortune 500 HQ,"329. O'Reilly Auto Parts Distribution Center, West Broadway Avenue, Minneapolis, MN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.37313641959337,45.07521516890729]}"
00000000000000000078_0,34.7375,Fortune 500 HQ,"45. Burlington Stores, Burlington, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.86334999031062,40.071599036361555]}"
