Ref#,Property Name,State,County,City,Street & Number,Area of Significance,Category of Property,Other Names,Property ID,Address
86000743,Lanier County Auditorium and Grammar School,GEORGIA,Lanier,Lakeland,E. Church Ave.,EDUCATION; ARCHITECTURE,BUILDING,NA,86000743,"E. Church Ave., Lakeland, GEORGIA"
100007698,Emery Thomas Auditorium,GEORGIA,Laurens,Dublin,100 Riverview Dr.,ETHNIC HERITAGE-BLACK; EDUCATION,building,Dublin 4-H Center,100007698,"100 Riverview Dr., Dublin, GEORGIA"
02000080,Holly Theatre,GEORGIA,Lumpkin,Dahlonega,69 W. Main St.,ARCHITECTURE; ENTERTAINMENT/RECREATION; SOCIAL HISTORY; BLACK,BUILDING,NA,02000080,"69 W. Main St., Dahlonega, GEORGIA"
84001208,Liberty Theater,GEORGIA,Muscogee,Columbus,821 8th Ave.,PERFORMING ARTS,BUILDING,NA,84001208,"821 8th Ave., Columbus, GEORGIA"
70000214,Springer Opera House,GEORGIA,Muscogee,Columbus,105 10th St.,COMMUNICATIONS; PERFORMING ARTS,BUILDING,NA,70000214,"105 10th St., Columbus, GEORGIA"
73000638,Hawkinsville City Hall-Auditorium,GEORGIA,Pulaski,Hawkinsville,Lumpkin and Broad Sts.,ENTERTAINMENT/RECREATION; ARCHITECTURE; SOCIAL HISTORY,BUILDING,Old Opera House,73000638,"Lumpkin and Broad Sts., Hawkinsville, GEORGIA"
00000301,Eastanollee Auditorium,GEORGIA,Stephens,Eastanollee,NE corner of Eastanolle School Rd. and Red Hollow Rd.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,NA,00000301,"NE corner of Eastanolle School Rd. and Red Hollow Rd., Eastanollee, GEORGIA"
01000646,Royal Theater,GEORGIA,Troup,Hogansville,301 E. Main St.,ARCHITECTURE; ENTERTAINMENT/RECREATION; BLACK; SOCIAL HISTORY,BUILDING,NA,01000646,"301 E. Main St., Hogansville, GEORGIA"
02001214,Warrenton Gymnasium-Auditorium,GEORGIA,Warren,Warrenton,304 S. Gibson St.,ARCHITECTURE; POLITICS/GOVERNMENT; SOCIAL HISTORY,BUILDING,NA,02001214,"304 S. Gibson St., Warrenton, GEORGIA"
15000684,Honokaa People's Theatre,HAWAII,Hawaii,Honokaa,45-3574 Mamane St.,ARCHITECTURE; ENTERTAINMENT/RECREATION; EUROPEAN; ASIAN; PACIFIC-ISLANDER; HISPANIC; SOCIAL HISTORY,BUILDING,TMK:(3) 4-5-016:011 and 56,15000684,"45-3574 Mamane St., Honokaa, HAWAII"
